naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Christian Angelet,Q55233572,,,,,,1934,
Lieven Annemans,Q55076306,,,,lieven-annemans-3376b46,LievenAnnemans,1964,
Frederik Anseel,Q55233336,,,,frederikanseel,,1978,
Marcel Anselin,Q55232664,,,,,,1925,2011
Marc Antrop,Q55233195,,,,,,1946,
Johan Aps,Q91020746,,,,,,1970,
Jan Art,Q55949306,,,,,,1947,
Etienne Asselbergs,Q107642341,,,,,,1889,1959
Dirk Avonts,Q55233578,,,,,,1954,
Sarah Baatout,Q55233260,,,,,,1969,
Claus Bachert,Q55233350,,,,,,1957,
Willem Back,Q55233501,,,,,,1961,
Wilhelm Baehrens,Q32456,,Wilhelm Baehrens.jpg,Wilhelm Baehrens,,,1885,1929
Remi Baekelmans,Q55233125,,,,,,1936,
Jan Van Bael,Q53114907,,,,,,1964,
Michel Baelde,Q55232516,,,,,,1933,2014
Lieven Baele,Q41804639,,,,,,1975,
Erik Baert,,,,,,,1955,
Leon Baert,,,,,,,1933,
Maarten Baes,Q55233413,,,,,,1975,
Dominique L P Baeten,Q114563710,,,,,,,
Roel Baets,Q55233219,,,,,,1957,
Willy Baeyens,Q42710049,,,,,,1948,
Herman Balthazar,Q2363706,,Herman Albert Balthazar (cropped).jpg,Herman Balthazar,,,1938,
Tom Balthazar,Q4301466,,Tom balthazar -1447747853.jpg,Tom Balthazar,,,1962,
Herman W. Barkema,Q40632634,,,,,,1960,
Diderik Batens,Q5274123,,,,,,1944,
Johan Bauwelinck,Q114370740,,,,,,1977,
John Beardmore,Q55232499,,,,,,1930,
Jonathan Beaverstock,Q58181945,,,,,,,
Jeroen Beeckman,Q58332169,,,,,,1979,
Tom Beeckman,Q41880120,,,,,,1963,
Stéphane Beel,Q3112934,,Stciphane beel-1447416437.jpg,,,,1955,
Hilde Beele,Q88006927,,,,,,1962,
Thomas Been,Q55232610,,,,,,1955,
Ivan Beghin,Q55231974,,,,,,1932,2015
Paul Beghin,,,,,,,1949,
Wolfgang Behschnitt,Q55232098,,,,,,1963,
Dirk Beke,Q55233070,,,,,,1947,2005
Jan Belis,Q55233065,,,,,,1975,
Frans Belpaire,Q55232972,,,,,,1939,
Godelieve Laureys,Q55232593,,,,,LiefLaureys,1949,
Dominique Benoit,Q88886582,,,,,,1967,
Yves Benoit,Q2535829,,,,,,1949,
Ingo Berensmeyer,Q55233303,,,,,,1972,
Anna Berge,,,,,,,1966,
Anna Bergmans,Q55949402,,,,,,1950,
Patrick Bergmans,,,,,,,1944,
Aldert A. Bergwerff,Q46088480,,,,,,1965,
Kristiaan Bernauw,Q55233410,,,,,,1958,
Wim Bert,Q21389861,,,,wim-bert-8aa9a433,,1973,
Mathieu Bertrand,,,,,,,1976,
Geert Berx,Q42648738,,,,,,1965,
Filip Beunis,Q56998657,,,,,,1978,
Rudi Beyaert,Q37382622,,,,,,1964,
Wim Beyers,Q44021893,,,,,,1972,
Benjamin Biebuyck,Q55233462,,,,,,1968,
Peter Bienstman,Q55232661,,,,,,1974,
Daniël Biltereyst,Q55232361,,,,,,1962,
Sven Biscop,Q55232966,,,,,,1976,
Thomas Block,Q57416674,,,,,,1973,
Jan Blommaert,Q6148586,,Jan blommaert-1466016595 (cropped2).JPG,Jan Blommaert,,,1961,2021
Phillip Blondeel,Q15880686,,,,,,1963,
Stijn Blot,Q55233559,,,,,,1968,
Hubert Bocken,Q55232391,,,,,,1944,
Pascal Boeckx,Q55233624,,,,,,1968,
Rudolf Boehm,Q104255,,,,,,1927,2019
Hendrik Enno Boeke,Q1412032,,,,,,1881,1918
René K. Boel,Q102339452,,,,,,1946,
Wout Boerjan,Q38321564,,,,,,1963,
Etienne Boesman,Q55232190,,,,,,1934,
Marc Bogaert,,,,,,,1941,
Peter Bogaert,,,,,,,,
Raymond Bogaert,Q55233146,,,,,,1920,2009
Thierry Bogaert,Q7784029,,,,thierry-bogaert-368423aa,,1960,
Stefan Bogaerts,Q55233490,,,,,,1964,
Wim Bogaerts,Q51581576,,,,,,1975,
Johannes Bogers,,,,,,,1964,
Nico Böhler,Q55233051,,,,,,1979,
Albertus Bongers,Q55232119,,,,,,1946,
Hendrik Bonne,,,,,,,1967,
Dries Bonte,Q40207597,,,,,BonteDries,1973,
Nico Boon,Q43029565,,,,,,1975,
Paul Boon,,,,,,,1960,
Ingrid Boone,Q55232709,,,,,,1972,
Marc Boone,Q13814259,,Decaan Marc Boone leest voor uit de oorlogsdagboeken van Henri Pirenne (cropped).jpg,Marc Boone,marc-boone-b8007315,,1955,
Gaetan Borgonie,Q92061874,,,,,,1966,
Karel Borms,Q50931402,,,,,,1876,1957
Frans Borremans,,,,,,,1942,
Kristiaan Borret,Q18654804,,,,kristiaan-borret-0344b180,,1966,
Arjen Bosman,Q55233367,,,,,,1963,
Walter Bossaert,Q55233192,,,,,,1937,
Peter Bossier,Q43094956,,,,,,1958,
Koen Bostoen,Q55233129,,,,,,1975,
Dick Botteldooren,Q40217847,,,,,,1963,
Boudewijn Bouckaert,Q2290873,,Boudewijn Bouckaert.jpg,Boudewijn Bouckaert,,,1947,
Jacques Bouckaert,,,,,,,1945,
Jan Bouckaert,Q55232799,,,,,,1965,
Karel Boullart,Q55233446,,,,,,1943,
Jan Bouma,,,,,,,1966,
Jacques Bourgeois,,,,,,,1936,
Jean Bourgeois,Q59201762,,,,,,1955,
Geert Bourgois,Q55232578,,,,,,1957,
Jan Bourgois,Q55232085,,,,,,1960,
Kobe Boussauw,Q23889109,,,,kobe-boussauw-8b5750a,,1978,
Koen Boussery,Q55231997,,,,,,1976,
Raymond Boute,Q55232404,,,,,,1944,
Roger Bouters,,,,,,,1930,1985
Frank Boutsen,Q55232753,,,,,,1960,
Marc Bracke,Q55232071,,,,,,1952,
Piet Bracke,Q44815337,,,,,,1961,
Roeland Bracke,Q55233701,,,,,,1978,
Bart Braeckman,Q56296403,,,,,,1969,
Johan Braeckman,Q2482740,,Johan braeckman 675.jpg,Johan Braeckman,,,1965,
Lutgart Braeckman,Q55232179,,,,,,1963,
Kevin Braeckmans,Q55232590,,,,,,1976,
Geert Braems,,,,,,,1960,
Caroline Braet,Q55233363,,,,,,1961,
Johan Brants,,,,,,,,
Marcel Brass,Q43498728,,,,,,1968,
Eva Brems,Q2601872,,Eva Brems.JPG,,,,1969,
Jan Briers,Q3419074,,,,,,1919,2007
Inge Brinkman,Q55232849,,,,,,1964,
Lieve Brochez,Q55233396,,,,,,1971,
Jan L. Broeckx,Q98113473,,,,,,1920,2006
Karen Broeckx,Q55233612,,,,,,1963,
Eric Broekaert,Q55233362,,,,,,1951,2016
Pieternella Broomans,Q55233696,,,,,,1954,
Peter Brouckaert,Q114408126,,,,,,1957,
Werner Bruggeman,Q55233637,,,,,,1952,
Fernand Brulez,Q50878775,,,,,,1887,1976
Lucien Brulez,Q50878782,,,,,,1891,1982
Wilfried Brulez,Q55233689,,,,,,1927,
Herwig Bruneel,Q55232540,,,,,,1954,
Guy Brusselle,Q55233371,,,,,,1965,
Herman Brutsaert,Q5599729,,,,,,1941,
Gene Brutten,Q55232554,,,,,,1928,2013
Tom Bruyer,Q55232143,,,,,,1981,
Elze Bruyninx,Q21651726,,,,,,1944,2011
Marc Brysbaert,Q42326888,,,,,,1963,
Gert Buelens,Q55233710,,,,,,1963,
Jan Buelens,,,,,,,,
Marc Buelens,Q55232045,,,,,,1949,
Foeke Buitenrust Hettema,Q1435108,,Foeke Buitenrust Hettema.jpg,Foeke Buitenrust Hettema,,,1862,1922
Robert Bulcke,Q55233617,,,,,,1945,
Patrick Bultinck,Q43202407,,,,,,1971,
Marc Burgelman,Q55232930,,,,,,1951,
Günter Burghardt,Q3124590,,,,,,1941,
Herman Burssens,Q55232496,,,,,,1927,2016
Christian Burvenich,Q55233353,,,,,,1950,
Patrick Butaye,Q55232944,,,,,,1967,
Hans Buurma,Q55233014,,,,,,1939,
Dirk Buyens,Q55233024,,,,,,1963,
Walter Buylaert,Q55233323,,,,,,1949,
Ann Buysse,Q55233304,,,,,,1968,
Jeroen Buysse,Q55232904,,,,,,1978,
Jacques Caemaert,Q49149163,,,,,,1950,
Patrick Calders,Q89879591,,,,,,1966,
Paul Calle,Q88008670,,,,,,1961,
Freddy Callens,Q91878457,,,,,,1956,
Nico Callewaert,Q49041235,,,,,,1976,
Luc Calliauw,Q2455734,,Professor dr. Luc Calliauw (cropped).png,Luc Calliauw,,,1928,2021
Dirk Cambier,Q90953011,,,,,,1965,
Bart Cambré,Q15428977,,,,,,1970,
Frank Canters,Q55233235,,,,,,1960,
Frans Cantrijn,Q55232880,,,,,,1952,
Ramon Carbó-Dorca i Carré,Q16184829,,,,,,1940,
Felix Cardon,,,,,,,,
Greet Cardon,Q47014266,,,,,,1968,
Anne Carlier,Q55233027,,,,,,1961,
Jan W Casselman,Q98226976,,,,,,1958,
Wim Ceelen,Q43121460,,,,wim-ceelen,WimCeelen,1967,
Jan Cerfontaine,Q55232136,,,,,,1956,
Luc Chalmet,Q55233221,,,,,,1949,
Ramesh Chandra Sharma,,,,,,,,
Guy Châtel,Q53091289,,,,,,1956,
Maxim Chernodub,Q6795575,,,,,,1973,
Matthew F Chersich,Q56440902,,,,,,1975,
Koen Chiers,Q95980681,,,,,,1971,
Jenneke Christiaens,Q55233408,,,,,,1963,
Johan Christiaens,,,,,,,1960,
Thierry Christiaens,Q49152030,,,,,,1958,
Armand Christophe,,,,,,,1941,2017
Edwin Claerebout,Q55231996,,,,,,1965,
Kathleen Claes,Q62097128,,,,,,1973,
Rita Claes,Q55232949,,,,,,1948,
Tom Claes,,,,,,,1964,
Ignace Claeys,Q55232060,,,,,,1971,
Philippe Claeys,Q47756436,,,,,ClaeysVub,1961,
René Claeys,Q55232018,,,,,,1885,1958
Roger Claeys,,,,,,,1924,2020
Sofie Claeys,Q108395209,,,,,,1966,
Marc Claeyssens,Q55233494,,,,,,1940,
Bart Clarysse,Q55233037,,,,,,1969,
Arthur Claus,Q18221240,,,,,,1861,1932
Marcus Clauss,Q23071022,,,,,,1970,
Paul Clauws,Q55232387,,,,,,1944,
Denis Clement,,,,,,,1940,
An Cliquet,,,,,,,1966,
Robert Cliquet,Q55232486,,,,,,1934,
Jean Cnudde,Q55232602,,,,,,1946,
Veerle Cnudde,Q55576224,,,,,,1977,
Bart Cockx,Q55233140,,,,,,1965,
Philippe Codde,Q55233527,,,,,,1972,
Tom Coenye,Q37829383,,,,,,1974,
Pol Coetsier,Q55232155,,,,,,1937,
Marc Cogen,Q55232688,,,,,,1955,
Dirk Coigneau,Q55232358,,,,,,1948,
Didier Colle,Q55233520,,,,,,1974,
Isabelle Colle,Q64681358,,,,,,1968,
Timothy Colleman,Q55232513,,,,,,1976,
Beverley Collins,Q55232067,,,,,,1938,2014
Frank Comhaire,Q55233157,,,,,,1940,
Harry Commandeur,Q2033034,,,,,,1960,
Ronald Commers,Q14286261,,Prof. dr. Ronald Commers.jpg,,,,1946,
Roland Contreras,,,,,,,1945,
Paul Cook,,,,,,,1961,
Ann Cools,Q55233325,,,,,,1964,
Marc Cools,,,,,,,1962,
Martine Cools,Q41702079,,,,,,1971,
Rik Coolsaet,Q2887836,,Rik coolsaet-1449767175 (cropped).jpg,Rik Coolsaet,,,1951,
Kris Coolsaet,Q55233172,,,,,,1963,
Willy Coolsaet,Q55233067,,,,,,1938,
August Coomans,Q113361555,,,,,,1936,
Jozef Coosemans,Q55233038,,,,,,1943,
Eric Coppejans,Q21509032,,,,,,1948,
Arthur Cornelis,,,,,,,1880,1959
Chris Cornelis,,,,,,,1977,
Gustaaf Cornelis,Q55232479,,,Gustaaf Cornelis,,,1966,
Marc Cornelis,,,,,,,1947,
Wim Cornelis,,,,,,,1969,
Maria Cornelissen,Q32426865,,,,,,1954,
Robertus Cornelissen,Q55232012,,,,,,1949,
Pieter Cornillie,Q92239124,,,,,,1978,
Paul Corthals,Q55232139,,,,,,1955,
André Cottenie,Q55232078,,,,,,1919,1997
Paul Coucke,,,,,,,1936,
Paul J Coucke,Q89307747,,,,,,1962,
Eric Cox,Q63633122,,,,,,1959,
Jan Craeybeckx,Q55233305,,,,,,1923,2011
Michael Crampin,Q55233573,,,,,,1942,
Stef Craps,Q55233692,,,,,,1976,
Luc Crevits,Q55233053,,,,,,1948,
Hans Crijns,Q55233471,,,,,,1952,
Claudia Crocco,Q55232351,,,,claudia-crocco-5b7b683,,1975,
Philippe Crombé,Q55232219,,,,,,1962,
Geert Crombez,Q37834410,,,,,,1963,
Gilbert Crombez,Q55233331,,,,,,1941,
John Crombez,Q2234719,,John-crombez-1432721230.jpg,John Crombez,,,1973,
Siska Croubels,Q55232456,,,,,,1969,
Claude Cuvelier,Q114432527,,,,,,1949,
Luc Daels,Q55233187,,,,,,1929,2021
Farid Dahdouh-Guebas,Q55232934,,,,,,1972,
Joni Dambre,Q40250868,,,,,JoniDambre,1973,
Maarten Dambre,Q55232336,,,,,,1963,
Lieven Danneels,Q55232146,,,,,,1969,
Frank David,,,,,,,,
Neil Davies,,,,,,,1979,
Peter Dawyndt,Q46524222,,,,,,1975,
Guy De Backer,Q47014193,,,,,,1944,
Hans De Backer,,,,,,,1978,
Dirk De Bacquer,Q55232854,,,,,,1965,
Elfride De Baere,Q50923707,,,,,,1971,
Bernard De Baets,Q40217879,,,,,,1966,
Frans De Baets,Q89453534,,,,,,1954,
Patrick De Baets,Q55232044,,,,,,1966,
Marc De Batist,Q55233519,,,,,,1960,
Ignace De Beelde,Q55233293,,,,,,1960,
Thomas De Beer,,,,,,,1979,
Jos De Belder,Q55232536,,,,,,1933,2016
Nele De Belie,Q42317311,,,,,,1970,
Els De Bens,Q21547893,,,,,,1940,
Hendrik De Bie,Q102399714,,,,,DeBie_Hendrik,1982,
Maria De Bie,Q55233358,,,,,,1951,
Frank De Bisschop,Q55232421,,,,,,1945,
Jan L De Bleecker,Q49140967,,,,,,1961,
Pieter De Bleser,Q59394080,,,,,,1960,
Marc De Bodt,Q42846716,,,,,,1955,
Gudrun De Boeck,Q39185973,,,,,,1966,
Gunnar L.H. De Boel,Q21552253,,,,,,1955,
Jan De Boever,Q2041773,,,,,,1939,
Walter De Bondt,Q55232928,,,,,,1949,
Karolien De Bosscher,Q29998795,,,,,,1973,
Koen De Bosschere,Q55233310,,,,,kdbosche,1963,
Ilse De Bourdeaudhuij,Q47013811,,,,,,1967,
Hubert De Brabander,Q114432522,,,,hubertdebrabander,hdbraban,1946,
P. De Brabandere,,,,,,,,
William De Breuck,Q55231964,,,,,,1933,
André De Bruyn,,,,,,,,
Bart De Bruyn,,,,,,,1974,
Ben De Bruyn,Q55232784,,,,,,1982,
Hugo De Bruyn,Q55232672,,,,,,1960,
Jacques De Bruyne,Q55233150,,,,,,1932,2017
Mieke De Bruyne,Q55232840,,,,,,1970,
Klaartje De Buysser,Q56956960,,,,,,1979,
Johan De Caluwe,Q55232406,,,,,,1960,
Rita De Caluwe,Q55233332,,,,,,1941,
Marcel De Cleene,Q2099960,,,,,,1946,
Natalis De Cleene,Q55233315,,,,,,1899,1977
Karel De Clerck,Q55232673,,,,,,1934,
Frank De Clerck,Q102203808,,,,,,1949,
Karen De Clerck,Q55232605,,,,,,1970,
Olivier De Clerck,Q21509982,,,,,,1971,
Armand De Clercq,Q55232322,,,,,,1945,
Barbara De Clercq,Q92670013,,,,,,1977,
Dirk De Clercq,Q49149633,,,,,,1958,
Eva De Clercq,Q55232897,,,,,,1976,
Marc De Clercq,Q2261144,Marc-De-Clercq-35181229741,,,marc-de-clercq-485aa61,,1951,
Patrick De Clercq,Q40446602,,,,,,1964,
Pierre De Clercq,,,,,,,1948,
Willy De Clercq,Q531313,,"Ministers Belgische Kabinet. Vice Eerste Minister W. de Clerq (PVV), Bestanddeelnr 918-9461.jpg",Willy De Clercq,,,1927,2011
Wim De Clercq,Q55056500,,,,,,1973,
Martine De Cock,Q55233608,,,,,,1976,
Gert De Cooman,Q55233468,,,,,,1964,
Frans De Corte,,,,,,,,
Katrien De Corte,Q55232132,,,,,,1972,
Roger De Corte,,,,,,,,
Wilfried De Corte,,,,,,,1951,
Henri De Coster,,,,,,,1784,1866
David De Cremer,Q18350566,,,,david-de-cremer-5648249,,1972,
Morgan De Dapper,Q55233423,,,,,,1947,
Josué De Decker,Q41884065,,,,,,1879,1953
Yves De Deene,Q56744427,,,,,,1968,
Filip De Fruyt,Q55233223,,,,,,1964,
Gerrit De Geest,Q5552558,,,,,,1960,
Dirk C de Graaf,Q90306768,,,,,,1963,
Katrien De Graef,Q55233481,,,,,,1976,
Luc De Grauwe,Q1896633,,,,luc-de-grauwe-294034b,,1948,
Antoine De Grave,Q87648766,,,,,,1914,1975
Eddy De Grave,Q55233584,,,,,,1951,2018
Johan De Grave,,,,,,,1974,
Marcel De Grève,Q1703813,,,,,,1922,2002
Marie De Groodt-Lasseel,Q84501511,,,,,,1914,2004
Jan De Groof,Q55232809,,,,,,1953,
Marc De Groote,Q55232974,,,,,,1957,
Alexandre de Hemptinne,Q20859240,,,,,,1937,
Bernard de Hemptinne,Q2898816,,,,,,1944,
Thérèse de Hemptinne,Q55232394,,,,,,1947,
Fernand De Hen,Q55232083,,,,,,1933,
Stefaan De Henauw,Q47014167,,,,,,1962,
Katja De Herdt,Q55233087,,,,,,1975,
Annick De Houwer,,,,,,,,
Jan De Houwer,Q55232152,,,,,,1968,
Geert De Jaeger,Q42703162,,,,,,1969,
H.C.J. de Jong,Q65562437,,,,,,,2001
Frank De Jonghe,Q55232328,,,,,,1968,
Olivier De Jonghe,Q55233324,,,,,,1979,
Jozef De Keersmaecker,Q50931845,,,,,,1860,1931
Denis De Keukeleire,Q55232510,,,,,,1943,
Filip De Keyser,Q49150640,,,,,,1959,
Norbert De Kimpe,Q55232145,,,,,,1948,
Aart de Kruif,Q55233708,,,,,,1947,
Ludo De Lannoy,Q55999293,,,,,,,
André De Leenheer,Q55233381,,,,,,1941,
Els De Leenheer,Q55233370,,,,,,1974,
Louis De Leenheer,Q18691583,,,,,,1912,1984
Erik De Lembre,Q55232998,,,,,,1942,
Els De Letter,Q55232266,,,,,,1970,
Herman De Ley,Q55233263,,,,,,1940,
Jozef De Ley,Q89201917,,,,,,1924,1997
Paul De Ley,Q97958690,,,,,,1967,
Gaston De Leye,Q109560481,,,,,,,
Marc De Loose,Q55232313,,,,,,1962,
Margaretha De Loos-Vollebregt,Q55232774,,,,,,1949,
Danny De Looze,Q55233318,,,,,,1961,
Hugo De Maegd,Q55232618,,,,,,1936,
Jan De Maeseneer,Q6148778,,,,jan-de-maeseneer-a15b488,JanDeMaeseneer,1952,
Wouter De Maeseneire,Q55232646,,,,,,1977,
Philippe De Maeyer,Q55233105,,,,,,1955,
Robert De Maeyer,Q55232454,,,,,,1903,1978
Jozef De Man,,,,,,,1953,
Lieven De Marez,Q55232597,,,,,,1977,
Martine De Mazière,Q55232121,,,,,,1960,
Tom De Medts,Q55233093,,,,,,1980,
Gert De Meerleer,Q90461733,,,,,,1969,
Dirk De Meester,,,,,,,1957,
Wolfgang de Melo,Q55232695,,,,,,1976,
Johnny de Meulemeester,Q48354700,,,,,,1946,2009
Bruno De Meulenaer,Q55233186,,,,,,1971,
Herman De Meulenaere,Q1610379,,,,,,1923,2011
Gilbert De Mey,Q55233009,,,,,,1947,
Marc De Mey,Q55232051,,,,,,1940,
Marjan De Mey,Q55966309,,,,,,1978,
Tim De Mey,Q55233203,,,,,,1973,
Arnoud De Meyer,Q4795395,,,Arnoud De Meyer,arnoud-de-meyer-712a5a,,,
Dirk De Meyer,Q26964266,,,,dirk-de-meyer-18274319,,1961,
Hans De Meyer,Q111748574,,,,,,1950,
Jan De Meyer,,,,,,,,
Leon De Meyer,Q3270879,,,,,,1928,2006
Ronald De Meyer,,,,,,,1955,
Tim De Meyer,Q60667285,,,,,,1981,
Marc De Meyere,Q55232390,,,,,,1940,
Pieter De Meyere,Q55232756,,,,,,1947,
Jacques de Milliano,Q2337690,,Jacques de Milliano (1986).jpg,Jacques de Milliano,,,1955,
Barbara De Moerloose,Q40228594,,,,,,1969,
Antoine De Moor,,,,,,,1936,
Guy De Moor,Q55232480,,,,,,1931,
Peter De Neve,,,,,,,1970,
Michel De Paepe,Q88675899,,,,,,1972,
Paul De Paepe,Q55233143,,,,,,1939,
Peter De Paepe,Q55232752,,,,,,1971,
Herman De Pooter,Q55233217,,,,,,1937,1995
Helena De Preester,Q55232817,,,,,,1977,
Katleen De Preter,Q28468986,,,,,,1977,
Bert De Reyck,Q55232414,,,,,,1971,
Louis De Ridder,,,,,,,1928,2020
Jacques De Rijcke,Q55232090,,,,,,1935,
Paul De Rycke,Q55232114,,,,,,1938,
Sarah De Saeger,Q48356357,,,,,,1971,
Jules de Saint-Genois des Mottes,Q49952391,,,,,,1813,1867
André De Schaepdryver,Q55232370,,,,,,1926,2011
Karel De Schamphelaere,Q49079532,,,,,,1976,
Hennie De Schepper,Q55233212,,,,,,1971,
Gilbert A. R. De Smet,Q40776137,,,,,,1921,2003
Bjorn De Sutter,Q55232337,,,,,,1974,
Albert De Sy,Q55232418,,,,,,1909,1985
Guy De Tré,Q55233354,,,,,,1970,
Filip De Turck,Q55232772,,,,,,1974,
Lieven De Veylder,Q43559927,,,,,,1970,
Albert de Vleeschauwer,Q2221447,,Albert de Vleeschauwer 1942.jpg,Albert de Vleeschauwer,,,1905,1960
Sarne De Vliegher,Q45991702,,,,,,1973,
Geert De Vos,,,,,,,1980,
Marc De Vos,Q13814266,,,,,,1970,
Alfons De Vreese,Q55233232,,,,,,1909,1994
Dirk de Vries Reilingh,,,,,,,1872,1920
Karel De Vriese,Q51133738,,,,,,1872,
Wim De Waele,Q87366893,,,,,,1974,
Bram De Wever,Q58870504,,,,,,1978,
Olivier De Wever,Q55233101,,,,,,1976,
Lode De Wilde,Q55233072,,,,,,1905,1990
Hans De Wulf,Q55233347,,,,,,1970,
Michiel Debackere,Q2989972,,,,,,1930,2013
Jean Debersaques,Q55233316,,,,,,1931,2014
Marcel De Boodt,Q6756075,,,,,,1926,2012
Georges Debra,Q55232520,,,,,,1906,1963
Marion Debruyne,Q55233657,,,,,,1972,
Pablo Decock,Q55232325,,,,,,1976,
Annemie Decostere,Q114384714,,,,,,1971,
Dieter Deforce,Q39418880,,,,,,1971,
Benedicte Deforche,Q87832106,,,,,,1974,
Bart Defrancq,Q55233159,,,,,,1970,
Michiel Dehaene,Q55233582,,,,,,1971,
Maarten Delbeke,Q55232006,,,,,,1970,
Catherine Delesalle,Q55232631,,,,,,1972,
Jozef Deleu,Q61691055,,,,,,1925,1994
Wim Delva,Q40052294,,,,,,1981,
Kristof Demeestere,Q55233210,,,,,,1976,
Jeroen Deploige,Q55232035,,,,,,1972,
Ben Depoorter,Q55233298,,,,,,1974,
Ada Deprez,Q21226597,,,,,,1928,2015
Wim Derave,Q42164114,,,,,,1973,
Fritz Derom,Q59139941,,,,,,1927,2019
Robert Derom,Q55231969,,,,,,1922,2009
Eva Derous,Q55232093,,,,,,1972,
Ben Derudder,Q55233215,,,,,,1976,
Paul Desmet,,,,,,,1939,2022
Tom Desmet,Q56441013,,,,,,1976,
Youri Desplenter,Q55232760,,,,,,1974,
Joost Dessein,Q55233346,,,,,,1971,
Christophe Detavernier,Q55233213,,,,,,1975,
Chris Develder,Q55233043,,,,,,1976,
Ignaas Devisch,Q23660847,,Ignaas devisch 2016.jpg,Ignaas Devisch,,idevisch,1970,
Lionel Devlieger,Q55233201,,,,,,1972,
Albert Devos,,,,,,,1921,2005
Carl Devos,Q2618437,,Carldevos675.jpg,Carl Devos,carl-devos-19a8b6100,devoscarl,1970,
Koen Dewettinck,Q55232185,,,,,,1975,
Jeroen Dewulf,Q57023373,,,,,,1974,
Marijke D'Haese,Q92118701,,,,,,1973,
Pieter Dhondt,Q18086062,,,,,,1976,
Matthias D'hooghe,Q56441897,,,,,,1978,
Raphaël Dierkens,Q112412500,,,,,,1925,2009
Maurice Dorikens,Q55232873,,,,,,1936,2017
Lodewijk Dosfel,Q1885243,,Lodewijk dosfel-1439385979.jpg,Lodewijk Dosfel,,,1881,1925
Gustaaf Doussy,Q50878800,,,,,,1881,1948
Roger Dragonetti,Q14564448,,,,,,1915,2000
Michael B Drennan,Q58120002,,,,,,1976,
Gijs Du Laing,Q55233711,,,,,,1977,
Filip E Du Prez,Q42290008,,,,,,1970,
Bernard Dubois,,,,,,,1936,
Peter Dubruel,Q55233569,,,,,,1976,
Jan Dumolyn,Q2633167,,,,,,1974,
Sven Dupré,Q55232082,,,,,,1975,
Erik Duverger,Q19753840,,,,,,1932,2004
Wouter Duyck,Q48359114,,,,,,1977,
Mattias Duytschaever,Q55233113,,,,,,1970,
Léon Eeckhoutte,Q3270933,,234.1969. A Poher. G. Monnerville. L. Eeckhoutte. (1969) - 53Fi3443 (Léon Eeckhoutte).jpg,,,,1910,1977
Lieven Eeckhout,Q31148712,,,,,,1975,
Kristof Eeckloo,Q55233540,,,,,,1975,
Jan Eggen van Terlan,Q41884656,,,,,,1883,1952
André Elewaut,Q55232102,,,,,,1934,2022
Sunny Eloot,Q91514796,,,,,,1973,
Annemie Elsen,Q55233329,,,,,,1973,
Renata Enghels,Q55233455,,,,,,1979,
Gerdie Everaert,Q55232983,,,,,,1974,
John Everaert,Q55233177,,,,,,1936,
Cornelius Edmond Fabri,Q56036040,,,,,,1855,1927
Willy Faché,Q55233096,,,,,,1936,
Herman W. Favoreel,Q37830529,,,,,,1972,
Dieter Fiems,Q55233001,,,,,,1973,
Lucien Fiermans,Q55232128,,,,,,1937,
Walter Fiers,Q2068397,,,,,,1931,2019
Veerle Fievez,Q42755320,,,,,,1973,
Walther Paul Fischer,Q90882001,,,,,,1889,1961
Alfons Fornier,Q50878807,,,,,,1875,1963
Edmund Robert Forster,Q90809,,,,,,1878,1933
Jan Fostier,Q60985236,,,,,,1982,
Henri Fredericq,,,,,,,1930,2018
Jiří Friml,Q29954492,,Jiří Friml – Cena Neuron 2019 0-37.png,Jiří Friml,,,1973,
Gilbert Froment,Q22004426,,,,gilbert-froment-77581225,,1930,
Michael Frömmel,Q55232372,,,,,,1970,
Sidharta Gautama,Q61113110,,,,,,1971,
Achilles Gautier,Q55232735,,,,,,1937,
Kersten Geers,Q55233508,,,,,,1975,
Maria Geerts,,,,,,,1939,
Stéphane Geets,Q55232053,,,,,,1939,2009
Peter Geldhof,Q114424528,,,,,,1975,
Etienne Geraert,Q55233687,,,,,,1937,
Sarah Gerlo,Q97884773,,,,,,1973,
Kris Gevaert,Q30003970,,,,,,1971,
Philippe Gevaert,Q57339925,,,,,,1973,
Elie Gillis,Q55232187,,,,,,1937,1988
Everhardus Godée-Molsbergen,Q51037843,,,Everhardus Godée-Molsbergen,,,1875,1940
André Goeminne,Q55232014,,,,,,1939,
Eric Goethals,Q55233092,,,,,,1936,
Peter Goethals,Q55232680,,,,,,1972,
Walter Gomes,,,,,,,1937,
Hugues Goosse,Q55232545,,,,,,1971,
Alain Goossens,Q41769157,,,,,,1971,
Karl Gordon,Q57218942,,,,,,1971,
Jan Goris,,,,,,,1899,1984
Liesbet Goubert,Q55233240,,,,,,1976,
René Govaert,,,,,,,1901,1968
Johan Grooten,Q55233091,,,,,,1924,1957
Alexander Guiora,Q55233322,,,,,,1925,2015
Hendrik Gysels,Q55232264,,,,,,1933,
Leen Haerens,Q99706765,,,,,,1980,
Jody J Haigh,Q114416498,,,,,,1970,
Hamida Hammad,Q38329231,,,,,,1974,
Juul Hannes,Q4499317,,,,,,1938,2012
Jean Michel Hanssens,Q55674499,,,,,,1933,
Roger Hartmann,Q55232717,,,,,,1939,
Hans Henderickx,Q21394337,,Hans Henderickx.jpg,,,,1930,
