naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Luc Jordaens,Q43158137,,,,,,1954,
Yves Jorens,Q55232193,,,,,,1968,
André Jorissen,Q55233134,,,,,,1954,
Ngo Kabuta,Q55233699,,,,,,1948,
Christine Kanz,Q55232924,,,,,,1965,
Jean-de-Dieu Karangwa,Q55232204,,,,,,1962,2017
Gerrit Karssen,Q23661048,,,,,,1963,
Koen Kas,Q55232432,,,,,,1967,
Jindrich Kasal,,,,,,,,
Jean Kaufman,,,,,,,1949,
Ingrid Kerckaert,Q55232800,,,,,,1956,
Etienne Kerre,Q55232660,,,,,,1945,
Leo Kestens,Q55233179,,,,,,1964,
Johannes Keulemans,,,,,,,1954,
Luc Keuleneer,Q55233007,,,,,,1959,
Bart Keunen,Q55232086,,,,,,1964,
Paul Kiekens,Q55233671,,,,,,1955,
Sergius Kiriakoff,Q14332047,,,,,,,1984
David Kirk,Q64383009,,,,,,1958,
Richard Kleihorst,Q55232198,,,,,,1965,
Daniel Knecht,Q114362162,,,,,,1941,
Patrick Kolsteren,Q55232559,,,,,,1956,
Martin Kramer,,,,,,,,
Rob Kroes,Q55232676,,,,,,1940,
Marc Kruithof,Q55232492,,,,,,1960,
Eckhart Kuijken,Q55233266,,,,,,1942,
Eric Lacroix,,,,,,,,
Johan Lagae,Q55233440,,,,,,1968,
Paul Lagasse,Q55232856,,,,,,1947,
Cornelis Lambalk,Q55233110,,,,,,1954,
Hendrik Lambert,,,,,,,1965,
Jo Lambert,,,,,,,1968,
Willy Lambert,Q55232771,,,,,,1953,
Bart Lambrecht,Q18402373,,,,,,1968,
Norbert Lameire,Q55233075,,,,,,1940,
Martin Lammens,Q30510427,,,,,,1956,
Philippe Lampo,,,,,,,,1989
Thomas Langerak,,,,,,,1950,
Michel R Langlois,Q96611359,,,,,,1967,
Erwoan Lannon,Q55233681,,,,,,1968,
Guido Latré,Q55232697,,,,,,1954,
Geneviève Laureys,Q40203852,,,,,,1955,
Dirk Lauwers,,,,,,,1952,
Ludwig Lauwers,Q55233138,,,,,,1957,
Luc Lavrysen,Q2319973,,Luc Lavrysen.jpg,Luc Lavrysen,,,1956,
Luc Lebbe,Q55232161,,,,,,1950,
Georges Leclercq,Q88180922,,,,,,1959,
Anna Leën,,,,,,,1941,2018
Romain Lefebvre,Q55232101,,,,,,1952,
René Lefève,,,,,,,,
Ignace Lemahieu,Q49132578,,,,,,1961,
Marc Leman,Q55233095,,,,,,1958,
Gilbert Lemmens,Q96294660,,,,,,1964,
Matthieu Lenoir,Q55233257,,,,,,1969,
Luc Lens,Q91735962,,,,,,1965,
Geert Leroux-Roels,Q45380570,,,,,,1952,
Bart Leroy,Q24956520,,,,bart-peter-leroy-3a8842,,1966,
Torsten Leuschner,Q55233271,,,,,,1966,
Bastiaan Levering,Q55233568,,,,,,1947,
Luc Leybaert,Q38321237,,,,,,1957,
Claude Libert,,,,,,,1964,
John Lievens,,,,,,,1969,
Michael Limberger,Q55232741,,,,,,1966,
Guy Lippens,Q40395636,,,,,,1964,
Mia Loccufier,Q55233606,,,,,,1967,
Thurmon E. Lockhart,Q37384021,,,,,,1965,
Ilse Logie,Q55233484,,,,,,1964,
Gerrit Loots,Q55232506,,,,,,1957,
Maria Lopes Augusto,Q54854371,,,,,,1945,
Noël Lust,Q55232577,,,,,,1942,
Dirk Luyten,Q55232251,,,,,,1963,
Roderick Lyall,Q55232141,,,,,,1943,
Michel Machiels,,,,,,,,
Jean-Pierre Maelfait,Q72431149,,,,,,,2009
Willy Maenhaut,Q37836945,,,,,,1945,
Dominiek Maes,Q55233558,,,,,,1969,
Francis Maes,Q55233128,,,,,,1963,
Frank Maes,Q52831418,,,,,,1959,
Lea Maes,Q96107754,,,,,,1950,
Marc Maes,,,,,,,1946,2010
Jean Mainil,Q55232996,,,,,,1961,
Philip Major,Q55630052,,,,,,,
Rianne Makkink,Q15881287,,Rianne Makkink.png,Rianne Makkink,rianne-makkink-1b38803,,1964,
Erik Manders,Q55233530,,,,,,1960,
Sophie Manigart,Q55233133,,,,,,1962,
Thierry Marchant,Q55232140,,,,,,1964,
Marc Maresceau,Q55233135,,,Marc Maresceau,,,1948,
Peter Mariën,Q55233509,,,,,,1962,
Guy Marin,,,,,,,1954,
Jean-Christophe Marine,Q6169071,,,,,,1968,
Vasilios Markesinis,Q4867216,,Basil Markesinis.jpg,,,,1944,
Luc Marks,Q55232476,,,,,,1967,
Ann Martens,Q91955506,,,,,,1969,
Koen Martens,Q21388496,,,,,,1959,
Luc Martens,Q63969428,,,,,,1956,
Luc Martens,Q100410547,,,,,,1963,
Maximiliaan Martens,Q55232195,,,,,,1960,
Paul Martens,,,,,,,,
José Martins,,,,,,,1966,
Georges Martyn,,,,,,,1966,
Jan Masschelein,Q55232073,,,,,,1956,
Dirk Matthys,Q55232876,,,,,,1960,
Dirk Matthys,,,,,,,1951,2020
Paul Matthys,,,,,,,1949,
Stijn Matthys,Q56296485,,,,,,1969,
Bernard Mazijn,Q55232405,,,,,,1962,
Theo Meert,Q114416499,,,,,,1958,
Firmin Mees,Q55233473,,,,,,1950,
Jan Mees,Q87863982,,,,,jmeesvliz,1964,
Michaël Meeuwis,Q55232202,,,,,,1968,
Joke Meheus,Q55232075,,,,,,1968,
Wilhelmina Meijer,Q55232601,,,,,,1952,
Françoise Meire,Q55232607,,,,,,1950,
Barbara Meisterernst,Q55232460,,,,,,1959,
Gerry Melino,Q55233297,,,,,,1953,
Patrick Mengé,,,,,,,,
Johan Mertens,Q25796373,,,,,,1947,
Ivan Mervielde,Q2070809,,Foto Ivan Mervielde.jpg,Ivan Mervielde,,,1947,2011
Eric Messens,Q114329024,,,,,,1943,
Kathy Messens,Q55233178,,,,,,1969,
Ludwine Messiaen,Q89998499,,,,,,,
Isabelle Meuret,Q55232378,,,,,,1968,
Evelyne Meyer,Q96295512,,,,,,1966,
Jacobus Middelburg,Q55232895,,,,,,1963,
Herman Mielants,Q55232570,,,,,,1945,
Willem Mielants,Q102314154,,,,,,1943,
