volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Johan Claus,,,,,,,,Vilvoorde,,Open Vld
Johan Cools,,,,,,,,Sint-Katelijne-Waver,Gemeenteraadslid,
Johan Danen,Q17350524,johan.danen,1248,Johan Danen - 2019.jpg,Johan Danen,,johandanen,Bilzen,,PRO-Bilzen
Johan Dom,,,,,,,,Zwijndrecht,Gemeenteraadslid,Groen
Johan Duyck,,,,,,,,Denderleeuw,,N-VA
Johan Gielen,,,,,,,,Vilvoorde,Lid van de Raad voor Maatschappelijk Welzijn,
Johan Guns,,,,,,,,Affligem,,OPEN2040
Johan Hoeks,,,,,,,,Lommel,Gemeenteraadslid,sp.a
Johan Hoes,,,,,,,,Meerhout,Gemeenteraadslid,CD
Johan Jansen,,,,,,,,Berchem,Districtsraadslid,N-VA
Johan Klaps,Q18433715,,,,,,,Antwerpen,,N-VA
Johan Leysen,Q26978754,,,,,,,Balen,Burgemeester,CD&V
Johan Mas,,,,,,,,Sint-Truiden,,Open Vld
Johan Moonen,,,,,,,,Tessenderlo,,N-VA
Johan Nys,,,,,,,,Temse,,
Johan Pauly,,,,,,,,Lanaken,,N-VA
Johan Pil,,,,,,,,Poperinge,,
Johan Piron,,,,,,,,Geraardsbergen,Gemeenteraadslid,
Johan Roose,,,,,,,,Waregem,,
Johan Segers,,,,,,,,Keerbergen,,N-VA
Johan Servé,,,,,,,,Halle,,sp.a
Johan Simons,,,,,,,,Peer,Gemeenteraadslid,Onafhankelijk
Jo Hellemans,,,,,,,,Zandhoven,Gemeenteraadslid,CD&V
John Adam,,,,,,,,Oudenaarde,,Open VLD
John Caron,,,,,,,,Nevele,Gemeenteraadslid,
John Crombez,Q2234719,,,John-crombez-1432721230.jpg,John Crombez,,,Oostende,,sp.a-stadsmakers
John Engels,,,,,,,,Merelbeke,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
John Michel,,,,,,,,Kontich,Lid van het Bijzonder Comité voor de Sociale Dienst,N-VA
Johnny Goos,Q2553363,,,,,,,Wervik,Gemeenteraadslid,
Johnny Roos,,,,,,,,Brakel,,Open Vld
John Swinnen,,,,,,,,Zoutleeuw,,SP. a
Jo Libeer,Q2044418,,,JoLibeer 2011090110012233.jpg,Jozef Libeer,,,Wevelgem,,CD&V
Jonas Bel,,,,,,,,Veurne,,Veurne Plus
Joop Verzele,Q2071524,,,,,,,Kruishoutem,Burgemeester,CD&V
Jordy Sabels,Q110844226,,,,,,,Ieper,,Groen
Jörg Welz,,,,,,,,Ranst,Gemeenteraadslid,N-VA
Joris De Bie,,,,,,,,,,N-VA
Joris Geens,,,,,,,,Zandhoven,Burgemeester,CD&V
Joris Hus,,,,,,,,Balen,Gemeenteraadslid,N-VA
Joris Jans,,,,,,,,Lanaken,,
Jo Rousseau,,,,,,,,Nieuwpoort,,PRO NIEUWPOORT
Jos Ceyssens,Q109451690,,,Jos Ceyssens.jpg,,,,Zoutleeuw,Burgemeester,CD&V
Jos Claes,,,,,,,,Borgloon,,Open VLD Stroop
Jos D'Haese,Q64210693,,,"Jos D'Haese, Back to the Climate 2021 (2).jpg",Jos D'Haese,,,Borgerhout,Districtsraadslid,PVDA
Jos De Meyer,Q2474770,,,Jos De Meyer.JPG,,,,Sint-Niklaas,,CD&V
Jos Engelen,,,,,,,,Meerhout,Burgemeester,CD
Joseph Cools,,,,,,,,Merchtem,Lid van de Raad voor Maatschappelijk Welzijn,
Joseph Maes,,,,,,,,Waasmunster,,
Joseph Royer,,,,,,,,Heers,,VLDUMONT
Jos François,,,,,,,,Pepingen,Lid van de Raad voor Maatschappelijk Welzijn,
Josse Vos,,,,,,,,Riemst,Lid van de Raad voor Maatschappelijk Welzijn,Open Vld
Jos Vinckx,Q55118751,,,,,,,Oud-Turnhout,Burgemeester,CD&Vplus
Jos Wijnen,,,,,,,,Kortessem,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Jo Vermeulen,Q3179421,,,,,,,Sint-Lievens-Houtem,,NIEUW HOUTEM
Jo  Vlieghe,,,,,,,,Torhout,Lid van de Raad voor Maatschappelijk Welzijn,
Jozef Dauwe,Q3028091,,,Jozef Dauwe.jpg,Jef Dauwe,,,Oost-Vlaanderen,,
Jozef De Vos,,,,,,,,Affligem,Lid van het Bijzonder Comité voor de Sociale Dienst,LIJST BURGEMEESTER
Jozef Jacobs,,,,,,,,Geel,,Onafhankelijk
Jurgen Claus,,,,,,,,Torhout,Gemeenteraadslid,
Kalifa Diaby,,,,,,,,Oost-Vlaanderen,Provincieraadslid,
Karel Max,,,,,,,,Linter,Lid van het Bijzonder Comité voor de Sociale Dienst,NV-A
Karel Noppe,,,,,,,,Sint-Niklaas,,Open Vld
Karen Jacobs,,,,,,,,Dessel,Gemeenteraadslid,N-VA
Karen Maes,,,,,,,,Deurne,,Groen
Karim Bachar,Q19882827,,,Karim bachar-1528979874.jpg,,,,Antwerpen,,Vooruit
Karina Hans,,,,,,,,Brasschaat,,N-VA
Karin Beyers,,,,,,,,,,N-VA
Karla Persyn,,,,,,,,,,Groen
Karl Bonny,Q2295666,,,,,,,Ichtegem,Burgemeester,CD&V
Karl Segers,,,,,,,,Zelzate,,PVDA
Karl Simons,,,,,,,,Ekeren,Districtsraadslid,sp.a
Kelly Es,,,,,,,,Houthulst,,CD&V Plus
Kelly Evers,,,,,,,,Merksplas,Lid van het Bijzonder Comité voor de Sociale Dienst,
Kevin Bal,,,,,,,,Kontich,Lid van de Raad voor Maatschappelijk Welzijn,
Kevin Drees,,,,,,,,Maaseik,,Onafhankelijk
Kevin Garcia,Q23884122,,,,,,,Aarschot,Gemeenteraadslid,N-VA
Kevin Roos,,,,,,,,Eeklo,,Vlaams Belang
Kim Brooks,,,,,,,,Mechelen,Lid van het Bijzonder Comité voor de Sociale Dienst,Vlaams Belang
Kim Maes,,,,,,,,Haacht,Gemeenteraadslid,Open Vld
Klaas Delrue,Q16070565,klaas.delrue,,,,,,,,Vld-Groen-M+
Klaas Geers,,,,,,,,Hoeilaart,Gemeenteraadslid,PRO Hoeilaart
Koen Anciaux,Q4404246,,,Koen-anciaux-1343894615.jpg,Koen Anciaux,,,Mechelen,,vld-groen-m+
Koen Claes,,,,,,,,Lummen,,N-VA
Koen Daniëls,Q17332662,,4715,Koen daniels-1568036065.jpg,Koen Daniëls,,koendaniels,Sint-Gillis-Waas,,N-VA
Koen Dillen,,,,,,,,Antwerpen,,N-VA
Koen Helsen,Q20856232,,,,,,,Kapellen,,Open VLD
Koen Kennis,Q2700925,,1784,,,,koen_kennis,Antwerpen,,N-VA
Koen Maes,,,,,,,,Beveren,,Groen
Koen Maris,,,,,,,,Kruibeke,,CD&V
Koen Ooms,,,,,,,,Limburg,,Vlaams Belang
Koen Pauwels,,,,,,,,Stabroek,,
Koen Roman,,,,,,,,Oost-Vlaanderen,Provincieraadslid,Groen
Koen Snyders,Q26132819,,,,,,,Edegem,Gemeenteraadslid,CD&V2650
Koen Vanhoof,,,,,,,,Londerzeel,,N-VA
Kris Bovin,,,,,,,,Leuven,Gemeenteraadslid,N-VA
Kris Fierens,,,,,,,,Leuven,Lid van het Bijzonder Comité voor de Sociale Dienst,
Kris Goos,,,,,,,,Laakdal,Gemeenteraadslid,CD&V-LVA
Kris Jacobs,,,,,,,,Halen,,CD&V
Kris Luyckx,,,,,,,,Merksplas,,leefbaar Merksplas
Kris Merckx,Q2172830,,,,,,,Antwerpen,Provincieraadslid,
Kris Vincke,,,,,,,,Beernem,,CD&V Beernem
Kris Wils,,,,,,,,Aartselaar,,CD&V-NAP
Laura Cools,,,,,,,,Koekelare,,Vooruit
Laura Deneve,,,,,,,,Wemmel,Gemeenteraadslid,Wemmel Plus!
Layla Onlen,,,,,,,,Neerpelt,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Leen Dierick,Q3228978,,,Leen Dierick 20171109.jpg,,,,Dendermonde,,CD&V
Leo De Ryck,,,,,,,,Affligem,,CD&V
Leo Guns,Q2207917,,,,,,,Affligem,Gemeenteraadslid,
Leo Janssens,,,,,,,,Aarschot,,CD&V
Leo Mees,,,,,,,,,,Open VLD
Leo Nicolaï,,,,,,,,Brecht,,CD&V-CDB
Leo Rens,,,,,,,,Zandhoven,Gemeenteraadslid,Groen
Lia Somers,,,,,,,,Merksem,Districtsraadslid,N-VA
Lien Du Four,,,,,,,,Nijlen,,Groen-Open Vld
Lien Gees,,,,,,,,Aalst,,CD&V
Lien Maes,,,,,,,,Mol,,Vlaams Belang
Lies Laridon,Q2950417,,,,,,,Diksmuide,Burgemeester,CD&V
Lieve De Bie,,,,,,,,Kapellen,Gemeenteraadslid,N-VA
Lieve Maes,Q781578,,,,,,,Zaventem,,N-VA
Lieven Huys,Q108746656,,,,,,,Wingene,Burgemeester,CD&V
Liliane Bar ,,,,,,,,Sint-Genesius-Rode,Lid van de Raad voor Maatschappelijk Welzijn,
Linda Bosch,,,,,,,,Beerse,,N-VA
Linda Cox,,,,,,,,Kinrooi,,CD&V
Linda Mulder,,,,,,,,Zoersel,Lid van het Bijzonder Comité voor de Sociale Dienst,Groen
Linda Wyns,,,,,,,,Meise,Lid van de Raad voor Maatschappelijk Welzijn,
Lisa Hermans,,,,,,,,Bierbeek,,CD&V
Lode Hofmans,Q26132848,,,,,,,Ranst,Burgemeester,Goesting!
Lode Morlion,Q2500631,,,,,,,Lo-Reninge,Burgemeester,DYNAMISCH
Lode Vereeck,Q2705463,,,Lode Vereeck.jpg,Lode Vereeck,,,Diepenbeek,,Open VLD
Lorin Parys,Q17350836,,4883,,,,lorinparys123,,,N-VA
Louis Engels,,,,,,,,Beveren,,
Louis Heeren,,,,,,,,,,SP. a
Louis Ide,Q2051862,,5812,Louis Ide.jpg,Louis Ide,,louis_ide,Zwalm,,N-VA
Louis Sandra,,,,,,,,Ledegem,Gemeenteraadslid,
