volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Johan Geleyns,Q72265565,,,Johan Geleyns opent het zeiskampioenschap 2021 in Vlierbeek.jpg,,,,Leuven,,CD&V
Johan Lefever,,,,,,,,Poperinge,,
Johan Limbourg,,,,,,,,Lennik,,LB
Johan Malcorps,Q2160672,johan.malcorps,,,,,,Berchem,,sp.a - Groen
JOHANNES DE BACKER,,,,,,,,Ternat,Lid van de Raad voor Maatschappelijk Welzijn,
Johan Pauwels,,,,,,,,Avelgem,Lid van het Bijzonder Comité voor de Sociale Dienst,
Johan Sauwens,Q2227111,,,JohanSauwens.jpg,Johan Sauwens,,,Bilzen,Burgemeester,PRO-Bilzen
Johan Van Dessel,,,,,,,,Nijlen,,N-VA
Johan Van Durme,Q2437104,,,,,,,Oosterzele,Burgemeester,CD&V-NVA
Johan Van Eeghem,,,,,,,,Blankenberge,,
Johan Van Herck,,,,,,,,Herenthout,Gemeenteraadslid,EENHEID
Johan Van Hoof,,,,,,,,Boechout,,PROboechout&vremde
Johan Van hove,,,,,,,,Evergem,,#sterk!
Johan Van Lier,,,,,,,,Tremelo,,Onafhankelijk
Johan Van Lierde,,,,,,,,Roosdaal,,CD&V
Johan Van Limbergen,,,,,,,,Boom,,      N-VA
Johan Van Vaerenbergh,,,,,,,,Erpe-Mere,,CD&V
Johan Verlinden,,,,,,,,Lille,Gemeenteraadslid,N-VA
Johnny Vangrieken,Q1907640,,,,,,,Sint-Truiden,,    sp.a
John Oliviers,,,,,,,,Ranst,,N-VA
Johny De Raeve,Q30139396,,,,,,,Zonhoven,Burgemeester,Open Vld
Joke Driessen,,,,,,,,As,Gemeenteraadslid,N-VA
Joke Hadermann,,,,,,,,Merksem,,N-VA
Joke Schauvliege,Q2247771,,,Joke Schauvliege at Werktuigendagen 2009 b.jpg,Joke Schauvliege,,,Evergem,,CD&V
Joke Van Doorne,,,,,,,,Lichtervelde,Gemeenteraadslid,
Joris Hindryckx,Q2308835,,,,,,,Houthulst,Burgemeester,CD&V Plus
Joris Janssens,,,,,,,,,,cd
Joris Sangers,,,,,,,,Maasmechelen,Lid van het Bijzonder Comité voor de Sociale Dienst,
Joris Vandenbroucke,Q3183927,,,Joris Vandenbroucke Studio Vlaams Parlement.png,,,,Oost-Vlaanderen,,Vooruit
Joris Vercammen,,,,,,,,Denderleeuw,,Vlaams Belang
Joris Verhaegen,,,,,,,,Buggenhout,,      VLAAMS BELANG
Jos Berghmans,,,,,,,,Leopoldsburg,,N-VA
Jos Claessens,Q13738984,,,,,,,Bocholt,Burgemeester,Nieuwe Unie
Jos De Seranno,,,,,,,,Kruisem,,    Open Vld
Joseph Browaeys,Q2641903,,,,,,,Horebeke,Burgemeester,Volksbelangen
Jef Plasmans,Q2201013,,,,,,,Kontich,Gemeenteraadslid,CD&V
Josephus Valkeniers,,,,,,,,Dilbeek,Gemeenteraadslid,LvBurgemeester-VLD
Jos Van den Abeele,,,,,,,,Asse,Gemeenteraadslid,ZELLIK-RELEGEM
Jos van Dongen,,,,,,,,Zoersel,,Vlaams Belang
Jo Vandeurzen,Q16002,,,Jo Vandeurzen ACV.jpg,Jo Vandeurzen,,,Genk,,CD&V
Jozef Borremans,,,,,,,,Ternat,,CD&V en Volks
Jozef Cuyvers,Q14851977,,,,,,,Zwalm,,
Jozef De Borger,Q15877184,,,,,,,Londerzeel,Burgemeester,CD&V
Jozef Lemmens,,,,,,,,Lede,,  Groen
Jozef Scheirs,,,,,,,,Heist-op-den-Berg,,
Jozef Van Looy,,,,,,,,Hoogstraten,,CD&V
Jozef Verschueren,,,,,,,,Schilde,Gemeenteraadslid,Open Vld
Jules Godefroid,,,,,,,,Waregem,,CD&V
Julie Roussel,,,,,,,,Menen,,CD&V
Jurgen Jacobs,,,,,,,,Dendermonde,,
Jürgen Van de Velde,,,,,,,,Roosdaal,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Jurgen Vanlerberghe,Q2001957,,,Jurgen vanlerberghe-1615976556.jpg,,,,Poperinge,,
Karel Breugelmans,,,,,,,,Wuustwezel,,CD&V
Karel De Ridder,,,,,,,,Dilbeek,,  Groen-sp.a
Karel Goossens,,,,,,,,Wetteren,,
Karel Van Belle,,,,,,,,,,N-VA-Lennik²
Karel van den Bosch,,,,,,,,Wetteren,,
Karel Van den Brande,,,,,,,,Wilrijk,Districtsraadslid,Groen
Karen De Colfmacker,Q56706958,,,,,,,Zwalm,Burgemeester,
Karen Kerkhofs,,,,,,,,Hechtel-Eksel,,    CD&V
Karim Van Overmeire,Q3193227,,,,,,,Aalst,,N-VA
Karin Brouwers,Q2541828,,,Karin Brouwers - 2019.jpg,,,,Leuven,,CD&V
Karine Moykens,,,,,,,,Herselt,,
Karine Jiroflée,Q3193290,,,Karin Jiroflée.jpg,,,,Haacht,,sp.a
Karl De Clerck,Q23496184,,,,,,,Oostrozebeke,Burgemeester,
Karlijne Van Bree,Q13741779,,,Portret Karlijne Van Bree .jpg,,,,Grimbergen,,Vernieuwing
Karlos Callens,Q2490456,,,,,,,Ardooie,Burgemeester,Groep82
Karolien Goris,,,,,,,,Berlaar,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Karolien Grosemans,Q2359077,,1355,Karolien Grosemans.jpg,Karolien Grosemans,,KaroGrosemans,Herk-de-Stad,,N-VA NIEUW
Kelly Verheyen,,,,,,,,,,sp.a
Kevin Janssen,,,,,,,,,,Vlaams Belang
Kevin Van Impe,,,,,,,,Erpe-Mere,Gemeenteraadslid,Open Vld
Kimberly Michel,,,,,,,,Halle,,N-VA
Klaas Verbeke,,,,,,,,Poperinge,,
Koen Beeckman,,,,,,,,Oosterzele,Gemeenteraadslid,
Koen Claessens,,,,,,,,Retie,,Nieuw Retie
KOEN De Vries,,,,,,,,Grobbendonk,Gemeenteraadslid,CD&V
Koen De Wilde,,,,,,,,Laarne,,CD&V
Koen Goossens,,,,,,,,Londerzeel,,Onafhankelijk
Koen Hendriks,,,,,,,,Overpelt,Gemeenteraadslid,CD&V
Koen Janssens,,,,,,,,Hooglede,,CD&V
Koen Michiels,,,,,,,,Edegem,,  N-VA
Koen Palinckx,Q87749963,,,,,,,Ekeren,Districtsburgemeester,N-VA
Koenraad Dekens,,,,,,,,Overijse,Lid van het Bijzonder Comité voor de Sociale Dienst,Overijse2002 - N-VA
Koen Van den Heuvel,Q2846392,koenvdheuvel,3589,Koen van den heuvel-1554265626.jpg,Koen Van den Heuvel,,kvdHeuvel_VP,Puurs-Sint-Amands,Burgemeester,        CD&V-teamkoen
Koen Van Elsen,Q15877493,,,,,,,Asse,Burgemeester,  CD&V
Koen Van Leuven,,,,,,,,Hoogstraten,,HOOGSTRATEN LEEFT
Koen Van Roey,,,,,,,,Borgerhout,,sp.a - Groen
Koen Vervaeke,,,,,,,,Lendelede,,N-VA
Koen Vijverman,,,,,,,,Haaltert,,CL-VLD
Koen Willekens,,,,,,,,Balen,,Open Vld
Kris Declercq,Q28129942,,,,,,,Roeselare,Burgemeester,CD&V
Kris Dierickx,,,,,,,,Beernem,Lid van de Raad voor Maatschappelijk Welzijn,
Kris Goossens,,,,,,,,Kasterlee,,N-VA
Kris Herremans,,,,,,,,Zwijndrecht,,Groen
Kris Janssens,Q22927789,,,,,,,Merksem,,Open Vld
Kris Van Dijck,Q2012761,,2519,Kris Van Dijck - 2019.jpg,,,KrisVanDijck1,Dessel,Burgemeester,N-VA
Kristien Van Vaerenbergh,Q1960865,,2777,Kristien van vaerenbergh 250x443.jpg,,,kris10vanvaer,Aalst,,N-VA
Lalynn Wadera,Q110897673,,,Lalynn Wadera.jpg,Lalynn Wadera,,,Leuven,,Vooruit
Laura Casagrande,,,,,,,,Asse,,  CD&V
Leen Janssens,,,,,,,,Berlaar,Gemeenteraadslid,Groen
Leen Michiels,,,,,,,,Kampenhout,,Open VLD
Lena Van den Eeden,,,,,,,,Boechout,Gemeenteraadslid,PROboechout&vremde
Leopold Lippens,Q2789065,,,Leopold Lippens 675 (cropped).jpg,Leopold Lippens,,,Knokke-Heist,Burgemeester,gemeentebelangen
Leo Vlaeymans,Q25693051,,,,,,,Borsbeek,Gemeenteraadslid,Groen
Lies Corneillie,Q87880731,,,,,,,Leuven,,Groen
Lieven Bauwens,Q14636970,,,,,,,Brakel,Gemeenteraadslid,
Lieven Janssens,Q2762653,,,,,,,Vorselaar,Burgemeester,Actiev
Lieven Lybeer,Q2972762,,,,,,,Kortrijk,,
Lieve Van Daele,Q1983428,,,,,,,Sint-Niklaas,Gemeenteraadslid,
Lieve Van Dyck,,,,,,,,Boom,,N-VA
Lieve Van Lancker,,,,,,,,De Pinte,Burgemeester,CD&V
Lieve Wierinck,Q3238348,lieve.wierinck,1215,,,,lievewierinck,Zaventem,Gemeenteraadslid,Open Vld
Liliane De Cock,Q17428128,,,,,,,Gent,,Groen
Liliane De Lange,,,,,,,,Zottegem,,Open Vld
Liliane Lebon,,,,,,,,Destelbergen,,
Linda Janssens,,,,,,,,Dilbeek,,  LVBurger Open-VLD
Linda Vissers,Q3241385,,,,,,,Overpelt,,LIJST VISSERS
Lise-Marie Kinnaer,,,,,,,,Tienen,Lid van het Bijzonder Comité voor de Sociale Dienst,
Lode Ceyssens,Q2759242,,,Lode ceyssens -1498715220.JPG,,,,Oudsbergen,Burgemeester,CD&V
Lode Van Looy,,,,,,,,Bonheiden,Burgemeester,BR
Loes Vandromme,Q65266413,,,,,,,Poperinge,,
Louis Bosmans,,,,,,,,Boom,,
Louis Van Hove,,,,,,,,Herselt,Gemeenteraadslid,CD&V
Luc Bungeneers,Q2179069,,,,,,,Merksem,Districtsburgemeester,N-VA
Luc Ceulemans,,,,,,,,Merchtem,Gemeenteraadslid,
Luc De Backer,,,,,,,,Lille,,LvBurgemeester-VLD
Luc De Bruycker,,,,,,,,Boutersem,Gemeenteraadslid,Open Vld
Luc Deconinck,Q26879197,,,,,,,Sint-Pieters-Leeuw,Burgemeester,N-VA
Luc De Meyere,,,,,,,,Sint-Laureins,,Samen Anders
Luc De Ridder,,,,,,,,Torhout,,N-VA Torhout
Lucienne François,,,,,,,,Merchtem,,
Lucien Van de Velde,,,,,,,,Zelzate,,Vooruit
Luc Maddelein,,,,,,,,Langemark-Poelkapelle,Gemeenteraadslid,
Luc Millecamps,Q1373795,,,,,,,Zulte,,CD&V
Luc Monsieurs,,,,,,,,Wijnegem,,DURF!
Luc Sevenhans,Q2277098,,,,,,,Brasschaat,,N-VA
Luc Van den Bossche,,,,,,,,Beveren,Gemeenteraadslid,
Luc Vander Meeren,Q2054778,,,,,,,Wortegem-Petegem,Burgemeester,      Open Vld
Luc Vandevelde,,,,,,,,Eeklo,Burgemeester,SMS
Luc Vandewalle,,,,,,,,Ichtegem,,  CD&V
Luc Van Leuven,,,,,,,,Wichelen,,CD&V
Luc Vannieuwenhuyze,Q2360582,,,,,,,Tielt,Burgemeester,CD&V
Luc Van Royen,,,,,,,,Kruibeke,,    Onafhankelijk
Ludovicus Jansens,,,,,,,,Baarle-Hertog,Gemeenteraadslid,N-VA
Ludwig Caluwé,Q2228225,,,,,,,Antwerpen,,
LUDWIG Jacobs,,,,,,,,Grobbendonk,Lid van het Bijzonder Comité voor de Sociale Dienst,
Ludwig Vandenhove,Q3266262,,,Ludwig Vandenhove.jpg,,,,Limburg,,sp.a
Luk Van Biesen,Q3266973,,,Luk van biesen-1557944074.jpg,,,,Zemst,,Open Vld
Luk Van Nieuwenhuysen,Q2868541,,,,,,,Bornem,,Vlaams Belang
Maaike De Rudder,Q64667372,,,,,,,Sint-Gillis-Waas,Burgemeester,CD&V
Magda De Meyer,Q1916410,,,,,,,Temse,,TESAMEN
Magda Raemaekers,Q3276631,,,,,,,Herk-de-Stad,,sp.a Herk-de-Stad
Maike Meijers,,,,,,,,Bilzen,,    ToB
Manu Beuselinck,Q584167,,,,,,,Oostende,Gemeenteraadslid,
Manu De Backer,,,,,,,,,,Open VLD
Manuela Van Werde,Q2904034,,1409,,,,manuelavanwerde,,,N-VA
Marc Adriaens,,,,,,,,Halen,,sp.a
Marc D'Hooghe,,,,,,,,Moorslede,Lid van de Raad voor Maatschappelijk Welzijn,
Marc De Coninck,,,,,,,,Wijnegem,,    N-VA
Marc De Meyer,,,,,,,,Borgerhout,,VLAAMS BELANG
Marc De Schrijver,,,,,,,,Deinze (voor fusie),,CD&V
Marc De Ville,,,,,,,,Lierde,,
Marc De Vlieger,,,,,,,,Bertem,Gemeenteraadslid,N-VA
Marc De Waele,,,,,,,,Lede,Gemeenteraadslid,
Marc Dierickx,,,,,,,,Aalst,,N-VA
Marcel Andries,,,,,,,,Geetbets,,CD&V
Marcel Belgrado,Q2746969,,,,,,,Meise,,  CD&V
Marcel Gielen,,,,,,,,Tessenderlo,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Marcel Van Goolen,Q106138450,,,,,,,Rotselaar,,Open Vld
Marcel Van Langenhove,Q746601,,,,,,,Wemmel,,W.E.M.M.E.L
Marcel Verschueren,,,,,,,,Hoogstraten,,Hoogstraten Leeft
Marc Hendrickx,Q2692897,,,Marc Hendrickx.jpg,,,,Mechelen,,N-VA
Marcia Hermans,,,,,,,,Zutendaal,Lid van het Bijzonder Comité voor de Sociale Dienst,ZVP
Marc Messiaen,,,,,,,,Kluisbergen,Gemeenteraadslid,
Marc Michiels,,,,,,,,Boortmeerbeek,,
Marco Goossens,Q108449641,,,,,,,Meeuwen-Gruitrode,Burgemeester,CD&V
Marc Reynders,,,,,,,,Leopoldsburg,,CD&V
Marc Richelle,,,,,,,,Landen,,CD&V
Marc Schepers,,,,,,,,Hasselt,,RoodGroen+Hasselt
Marc Van Aperen,,,,,,,,Hoogstraten,Burgemeester,Hoogstraten Leeft
Marc Van Asch,Q2343743,,,,,,,Vilvoorde,Gemeenteraadslid,
Marc van Dael,,,,,,,,Bocholt,Lid van het Bijzonder Comité voor de Sociale Dienst,NU - Nieuwe Unie
Marc Van Damme,,,,,,,,Turnhout,,N-VA
Marc Van den Brande,,,,,,,,Kontich,,CD&V
Marc Vanden Bussche,Q1836613,,,,,,,Koksijde,Burgemeester,Lijst Burgemeester
Marc Vanderhaeghe,,,,,,,,Kortemark,Gemeenteraadslid,
Marc Van der Linden,Q21129983,,,,,,,Duffel,Burgemeester,N-VA
Marc Vandermeulen,,,,,,,,Meulebeke,,
Marc Van de Vijver,Q2997336,,,,,,,Beveren,Burgemeester,    CD&V Beveren
Marc Van Peel,Q3024853,,,Marc Van Peel 27-11-2013.jpg,Marc Van Peel,,,Antwerpen,,CD&V
Marc Van Poucke,,,,,,,,Gavere,Lid van de Raad voor Maatschappelijk Welzijn,
Marc Vercruysse,,,,,,,,Waregem,,CD&V
Marc Verhaeghe,,,,,,,,Steenokkerzeel,,
Marc Wackenier,Q2174948,,,LDD - Marc Wackenier.jpg,,,,Alveringem,Gemeenteraadslid,PRO
Maria  Adriaensen,,,,,,,,Kortenberg,,CD&V
Maria Andries,,,,,,,,Bertem,,Groen
Maria Boudewijns,,,,,,,,Baarle-Hertog,Lid van de Raad voor Maatschappelijk Welzijn,N-VA
Maria De Cock,,,,,,,,Kruibeke,Lid van het Bijzonder Comité voor de Sociale Dienst,
Maria Dierckx,,,,,,,,Brecht,,
Maria Goossens,,,,,,,,Arendonk,Lid van de Raad voor Maatschappelijk Welzijn,
Maria Hermans,,,,,,,,Retie,Lid van het Bijzonder Comité voor de Sociale Dienst,Nieuw Retie
Maria Jackers,,,,,,,,Riemst,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Maria Konings,,,,,,,,Essen,Lid van de Raad voor Maatschappelijk Welzijn,
Maria Lemmens,,,,,,,,Kortenaken,Lid van de Raad voor Maatschappelijk Welzijn,
Maria Michiels,,,,,,,,Brecht,Gemeenteraadslid,
Marianne Jacobs,,,,,,,,Zutendaal,Lid van het Bijzonder Comité voor de Sociale Dienst,ZVP
Maria Van Espen,,,,,,,,Tremelo,Lid van de Raad voor Maatschappelijk Welzijn,
Maria Van Laer,,,,,,,,Kasterlee,,Vlaams Belang
Maria Van Nieuwenhove,,,,,,,,Londerzeel,,
Maria Van Nuland,,,,,,,,Mechelen,,CD&V
Maria Vrancken,,,,,,,,Holsbeek,,N-VA
Maria Vranken,,,,,,,,Aarschot,Gemeenteraadslid,Open Vld
Maria Wellens,,,,,,,,Leuven,Gemeenteraadslid,sp.a
Maria Willems,,,,,,,,Herenthout,,GBL
Marie-Anne Coppens,,,,,,,,Brasschaat,,CD&V
Marie-Annick Sevenans,Q13815329,,,Annick Sevenans at the 2010 US Open 01.jpg,Annick Sevenans,,,Oud-Turnhout,Gemeenteraadslid,CD&V
Marie De Clerck,Q25668061,,,,,,,Wevelgem,,      CD&V
Marieke Meelberghs,,,,,,,,Beringen,,Voluit
Marie-Louise Maes,,,,,,,,Tremelo,,Open Vld
Marie Michiels,,,,,,,,Westerlo,,CD&V
Marijke Ceunen,,,,,,,,Halle,,Groen
Marijke Dillen,Q3293055,,,,,,,Schilde,,VLAAMS BELANG
Marij Preneel,Q22670374,,,Marij Preneel.jpg,,,,Borgerhout,Districtsburgemeester,sp.a - Groen
Marino Keulen,Q3293315,,,,,,,Lanaken,Burgemeester,Open Vld - Lanaken
Marinus Van Rooij,,,,,,,,Arendonk,Gemeenteraadslid,Arendonk Positief
Marius Meremans,Q15127146,,2319,,,,MariusMeremans,Dendermonde,,N-VA
Mark Demesmaeker,Q2368415,mark.demesmaeker,10252,"Mark Demesmaeker,Belgium-MIP-Europaparlament-by-Leila-Paul-3.jpg",Mark Demesmaeker,,markdemesmaeker,Halle,,N-VA
Mark Vanleeuw,Q2182215,,,,,,,Herk-de-Stad,,Open Vld
Marleen Claeys,,,,,,,,Wachtebeke,,
Marleen De Bruyn,,,,,,,,Rumst,,CD&V - 3D
Marleen De Vry,,,,,,,,Tielt-Winge,,Groen
Marleen Van den Bussche,Q13816228,,,,,,,Maldegem,Burgemeester,De Merlaan
Marleen Van den Eynde,Q3294444,,,,,,,Kontich,,N-VA
Marleen Van Hove,,,,,,,,Sint-Gillis-Waas,,Vlaams Belang
Marleen Willems,,,,,,,,Tremelo,,
Marlies De Clercq,,,,,,,,Ingelmunster,Gemeenteraadslid,
Marnix Van Daele,,,,,,,,Ruiselede,,    RESPECT
Massimo Caruso,,,,,,,,Beringen,,Vooruit
Maurice Helsen,Q61640264,,,,,,,Herenthout,,CD&V
Maurice Jacobs,,,,,,,,Keerbergen,,Open VLD
Maurice Webers,Q17429584,,,,,,,Beringen,Burgemeester,sp.a
Melissa Hermans,,,,,,,,Meise,Gemeenteraadslid,
Mercedes Van Volcem,Q2176507,,,,,,,Brugge,,Open VLD Plus
Meyrem Almaci,Q1820692,meyremalmaci,28574,Meyrem-almaci-1349265092.jpg,Meyrem Almaci,,meyremalmaci,Antwerpen,Gemeenteraadslid,Groen
Mia De Brouwer,Q106454943,,,,,,,Aalst,,N-VA
Mia De Schamphelaere,Q3307847,,,,,,,Edegem,Gemeenteraadslid,CD&V2650
Michel Berger,,,,,,,,Genk,Lid van het Bijzonder Comité voor de Sociale Dienst,
Michel Boussu,,,,,,,,Alken,,  N-VA
Michel Carels,,,,,,,,Ninove,Gemeenteraadslid,
Michel Declercq,,,,,,,,Bredene,,Vlaams Belang
Michel De Prins,,,,,,,,,,N-VA
Michel Jansen,Q13850567,,,,,,,Hoogstraten,,N-VA
Michelle Prins,,,,,,,,Drogenbos,Lid van de Raad voor Maatschappelijk Welzijn,UF
Michel Schepens,,,,,,,,Leopoldsburg,,CD&V
Michel Van Dyck,,,,,,,,Heist-op-den-Berg,,N-VA
Michel Vanhaeleweyck,Q60458292,,,,,,,Asse,,Open Vld
Michel Willems,,,,,,,,Glabbeek,,  Dorpspartij
Michiel Hermans,,,,,,,,Niel,Lid van het Bijzonder Comité voor de Sociale Dienst,
Michiel Hubeau,,,,,,,,,,Groen
Mieke Schauvliege,Q61742363,Mieke-Schauvliege-580909235603988,1597,Mieke Schauvliege 3.jpg,Mieke Schauvliege,,miekeschauv,Aalter (voor fusie),,  Groen
Mieke Schauvliege,Q61742363,miekeschauv,,,,,,,,
Mieke Van Hecke,,,,,,,,Zandhoven,,CD&V
Mien Van Olmen,Q97477531,,,,,,,Herentals,Burgemeester,CD&V
Miguel Chevalier,Q3312958,,,,,,,Oostkamp,Gemeenteraadslid,
Mohamed Ridouani,Q2324477,,,Mohamed-ridouani-1355480345.jpg,Mohamed Ridouani,,,Leuven,Burgemeester,Vooruit
Monica De Coninck,Q2503975,,,,,,,Antwerpen,Gemeenteraadslid,sp.a
Monique Adams,,,,,,,,Geetbets,,CD&V
Monique Mahieu,,,,,,,,Wilrijk,Districtsraadslid,N-VA
Monique Swinnen,Q21667028,,,,,,,Vlaams-Brabant,,CD&V
Myriam Vanlerberghe,Q2387967,,,Myriam Vanlerberghe.jpg,,,,West-Vlaanderen,,
Nadja Vananroye,Q27106532,,,,,,,Hasselt,Burgemeester,CD&V
Nahima Lanjri,Q3335143,,,Nahima-lanjri-1337435663.jpg,Nahima Lanjri,,,Borgerhout,,CD&V
Naomi Van der Velden,,,,,,,,Borsbeek,,N-VA
Nelly Willems,,,,,,,,Haacht,Lid van het Bijzonder Comité voor de Sociale Dienst,
Nicholas Van der Veken,,,,,,,,Nijlen,,  Groen-Open Vld
Nick De Clercq,,,,,,,,Temse,Gemeenteraadslid,
Nicola De Cock,,,,,,,,Temse,,CD&V
Nicolas Bollion,,,,,,,,Boutersem,,N-VA
Nicolas Honoré,,,,,,,,Drogenbos,Gemeenteraadslid,UF
Nicolas Rousseau,,,,,,,,Sint-Pieters-Leeuw,Lid van het Bijzonder Comité voor de Sociale Dienst,PF
Nicole Nagels,,,,,,,,Malle,,
Nicole Roland,,,,,,,,Sint-Genesius-Rode,,
Nico Lodewijks,,,,,,,,Rotselaar,,    Open Vld
Niels Willems,,,,,,,,Kortenaken,,N-VA
Olivier Caluwé,,,,,,,,Zemst,Lid van de Raad voor Maatschappelijk Welzijn,
Olivier Coppens,,,,,,,,,,Groen
Olivier Elias,,,,,,,,Borgerhout,,CD&V
Olivier Fourier,,,,,,,,Jabbeke,,    Groen
Olivier Joris,,,,,,,,Kraainem,,Open VLD
Pascal Demuysere,Q3367365,,,,,,,De Panne,,  ACTIE
Pascal Rousseaux,,,,,,,,Merelbeke,,CD&V
Pascal Verbeke,,,,,,,,Gent,,Vooruit
Paula De Leeuw,,,,,,,,Aartselaar,,N-VA
Paul De Schepper,,,,,,,,Ninove,,SAMEN
Paul Duerinckx,,,,,,,,Lubbeek,,CD&V
Paul Goossens,,,,,,,,Gent,,CD&V
Paul Van Asbroeck,,,,,,,,Machelen,Gemeenteraadslid,N-VA
Paul Van Dooren,,,,,,,,,,N-VA
Paul Van Hoof,,,,,,,,Putte,,          Lijst Burgemeester
Paul Verbeeck,Q98592961,,,,,,,Nijlen,Burgemeester,  CD&V
Peggy  Somers,,,,,,,,Kapelle-op-den-Bos,,N-VA
Philip De Koninck,,,,,,,,Lier,Lid van het Bijzonder Comité voor de Sociale Dienst,Open Vld
Philip Heylen,Q1880586,,,,,,,Antwerpen,,CD&V
Philip Konings,,,,,,,,Blankenberge,,Open Vld
Philippe Bille,,,,,,,,Menen,Gemeenteraadslid,
Philippe De Backer,Q1713891,,12615,Philippe-de-backer-1412911139.jpg,Philippe de Backer,,debackerphil,,,Open VLD
Philippe De Coene,Q3379698,,,Philippe De Coene.jpg,Philippe De Coene,,,West-Vlaanderen,,Sp.a
Philippe De Coninck,Q2090012,,,,,,,Oost-Vlaanderen,Burgemeester,SamenPlus
Philippe Deleu,,,,,,,,Wervik,,
Philippe De Man,,,,,,,,Wemmel,,
Philippe de Posson,,,,,,,,Kraainem,Lid van de Raad voor Maatschappelijk Welzijn,
Philippe Leclercq,,,,,,,,Oostrozebeke,,
Philippe Scheys,,,,,,,,Herent,,CD&V
Philip Roosen,,,,,,,,Grimbergen,,  N-VA
Philip Van den Bossche,,,,,,,,Zoutleeuw,,Onafhankelijk
Philip Willems,,,,,,,,Gooik,Gemeenteraadslid,
Pierre Claeys,,,,,,,,Buggenhout,Burgemeester,      CD&V
Pierre Gielen,,,,,,,,Dilsen-Stokkem,,N-VA
Pierre Houben,,,,,,,,Dilsen-Stokkem,,sp.a
Pierre Van den Broeck,,,,,,,,Londerzeel,Lid van het Bijzonder Comité voor de Sociale Dienst,
Pierre Van de Velde,,,,,,,,Opwijk,,    Open Vld
Pierre Velghe,,,,,,,,Destelbergen,,
Pierre Verheyden,,,,,,,,Kinrooi,Gemeenteraadslid,N-VA
Pièrre Vrancken,,,,,,,,Bilzen,Lid van de Raad voor Maatschappelijk Welzijn,PRO-Bilzen
Pol Van Den Driessche,,,,,,,,Brugge,,N-VA
Raimondo Palermo,,,,,,,,Sint-Pieters-Leeuw,,          PF
Reccino Van Lommel,Q65271257,,,,,,reccino,Turnhout,,Vlaams Belang
Reinhilde Goossens,,,,,,,,Puurs,,CD&V
Reinilde Van Moer,Q3423922,,,,,,,Willebroek,,N-VA
René Janssens,,,,,,,,Edegem,,N-VA
Reza Mohammadi,,,,,,,,Geraardsbergen,,Open Vld
Ria Van Den Heuvel,Q20857916,,,,,,,Boechout,,PRO Boechout&Vremde
Ria Vermeulen,,,,,,,,Berchem,,Vooruit - Groen
Rik Ceulemans,,,,,,,,Zonhoven,Gemeenteraadslid,sp.a - Groen
Robby De Caluwé,Q1991899,,,Robby De Caluwé foto 1.jpg,Robby De Caluwé,,,Moerbeke,Burgemeester,Open Vld
Roger Coppens,,,,,,,,Haaltert,,CL-VLD
Roger Janssens,,,,,,,,Putte,,          CD&V-GROEN PUTTE
Roger Van Driessche,,,,,,,,Mortsel,Lid van de Raad voor Maatschappelijk Welzijn,
Roger Vermeulen,,,,,,,,Keerbergen,,Open VLD
Roger Willems,,,,,,,,Zomergem,Gemeenteraadslid,
Roland Crabbe,Q2205065,,,,,,,Nieuwpoort,Burgemeester,
Roland Defreyne,Q3440024,,,,,,,Gistel,,
Romain De Grave,,,,,,,,Sint-Gillis-Waas,Lid van de Raad voor Maatschappelijk Welzijn,
Rosemarie De Clerck,,,,,,,,Wielsbeke,Lid van de Raad voor Maatschappelijk Welzijn,
Rudy Janssens,,,,,,,,Holsbeek,,CD&V
Rudy Verhoeven,,,,,,,,Lint,Burgemeester,N-VA
Sabine Poleyn,Q2281952,,,,,,,Zwevegem,Gemeenteraadslid,
Sabine Vermeulen,Q3460579,,,,,,,Deinze,,N-VA
Sabrina De Vos,,,,,,,,Zedelgem,,
Saïd El Khadraoui,Q1399106,,,"El Khadraoui, Saïd-9825.jpg",Saïd El Khadraoui,,,Leuven,Gemeenteraadslid,sp.a
Saïd Ibrahimi,,,,,,,,Zemst,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Sally De Jong,,,,,,,,Lommel,,sp.a
Sander Loones,Q18336548,SanderLoonesNVA,13241,,,sanderloones,SanderLoones,Koksijde,,          N-VA
Sandra Van den Bossche,,,,,,,,Middelkerke,,LDD (lijst Dedecker)
Sandrine De Crom,Q59497219,,,,,,,Brugge,,Open VLD Plus
Sandy Vermeulen,,,,,,,,Wortegem-Petegem,,      Open Vld
Sanne Alexander,,,,,,,,Wachtebeke,,    CD&V
Sanne Van Looy,Q110400903,,,,,,,Malle,Burgemeester,N-VA
Sarah Smeyers,Q1866883,,5259,,,,SarahSmeyers,Aalst,,N-VA
Sara Verbeeck,,,,,,,,Leopoldsburg,,CD&V
Seppe Bouquillon,Q98593374,,,,,,,Olen,Burgemeester,CD&V
Serge Gumienny,Q925407,,,Serge Gumienny (cropped).jpg,Serge Gumienny,,,Sint-Truiden,,    Open Vld
